Size,HouseType,City,Area,Rooms,Age,Price
1460,Tenament,Ankleshwar,Kapodra,7,10,410320
1066,Flat,Vadodara,Manjalpur,7,10,465598
4044,Triplex,Surat,Varachha,4,7,2745443
730,Bungalow,Vadodara,Manjalpur,6,20,364019
2991,Bungalow,Ankleshwar,GIDC,4,29,1136094
1784,Duplex,Vadodara,Manjalpur,4,25,792913
3504,Duplex,Vadodara,Akota,1,26,1540978
3158,Tenament,Ankleshwar,Rajpipla Road,2,27,642797
1575,Tenament,Surat,Varachha,7,29,628154
3605,Duplex,Surat,Adajan,3,11,1894986
1867,Tenament,Surat,Vesu,1,2,698212
4490,Tenament,Vadodara,Alkapuri,7,20,1484388
3035,Tenament,Surat,Adajan,1,27,1086069
2641,Triplex,Ankleshwar,Rajpipla Road,1,25,1113073
1963,Bungalow,Ankleshwar,Valia Road,4,14,728608
2078,Triplex,Surat,Varachha,4,28,1378199
4614,Bungalow,Surat,Katargam,3,13,2764820
2555,Flat,Vadodara,Subhanpura,2,7,943225
3673,Flat,Vadodara,Akota,6,5,1367003
4443,Flat,Vadodara,Subhanpura,6,28,1568808
761,Triplex,Vadodara,Akota,2,29,478594
3942,Triplex,Surat,Piplod,6,22,2748947
1616,Flat,Surat,Adajan,6,7,735712
937,Tenament,Ankleshwar,Rajpipla Road,7,20,287632
4593,Triplex,Vadodara,Alkapuri,1,27,2691434
979,Flat,Surat,Katargam,5,8,417644
2662,Duplex,Ankleshwar,Kapodra,5,0,914134
3168,Duplex,Vadodara,Subhanpura,1,11,1387635
2095,Tenament,Ankleshwar,Kapodra,7,10,563913
991,Tenament,Vadodara,Manjalpur,3,2,301831
4161,Flat,Ankleshwar,Kapodra,7,25,1075001
800,Duplex,Vadodara,Manjalpur,4,1,404756
3054,Tenament,Surat,Vesu,6,23,1171294
3331,Bungalow,Ankleshwar,Valia Road,6,26,1290717
3290,Triplex,Ankleshwar,GIDC,1,4,1451056
1470,Duplex,Vadodara,Alkapuri,3,8,637056
2084,Duplex,Ankleshwar,GIDC,3,30,662315
3390,Triplex,Ankleshwar,GIDC,1,19,1426518
4791,Bungalow,Ankleshwar,Rajpipla Road,4,29,1823481
2278,Duplex,Vadodara,Subhanpura,3,28,1008317
2322,Duplex,Vadodara,Gotri,3,21,1027309
3225,Bungalow,Vadodara,Akota,2,12,1687682
3660,Flat,Surat,Vesu,6,27,1528759
4227,Bungalow,Surat,Piplod,4,29,2525641
2263,Bungalow,Vadodara,Akota,2,22,1140782
3902,Triplex,Surat,Piplod,6,0,2693440
1906,Triplex,Surat,Vesu,6,24,1362867
1882,Flat,Ankleshwar,GIDC,7,5,504959
4348,Duplex,Surat,Vesu,1,18,2207505
1263,Triplex,Surat,Adajan,7,26,933397
